,R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR.,B_SIG_STR.,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR.,B_TOTAL_STR.,R_TD,B_TD,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,R_HEAD,B_HEAD,R_BODY,B_BODY,R_LEG,B_LEG,R_DISTANCE,B_DISTANCE,R_CLINCH,B_CLINCH,R_GROUND,B_GROUND,win_by,last_round,last_round_time,Format,Referee,date,location,Fight_type,Winner
3262,Dennis Siver,Diego Nunes,0,0,68 of 203,49 of 125,33%,39%,78 of 216,49 of 125,0 of 6,0 of 0,0%,0%,0,0,0,0,0,0,31 of 143,11 of 58,17 of 24,15 of 20,20 of 36,23 of 47,58 of 183,35 of 106,10 of 20,14 of 19,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,2012-04-14,"Stockholm, Sweden",Featherweight Bout,Dennis Siver
3263,DaMarques Johnson,John Maguire,0,0,15 of 25,6 of 7,60%,85%,33 of 44,35 of 38,0 of 0,3 of 3,0%,100%,1,1,1,4,1,0,8 of 18,4 of 5,2 of 2,2 of 2,5 of 5,0 of 0,6 of 12,1 of 2,1 of 1,0 of 0,8 of 12,5 of 5,Submission,2,4:40,3 Rnd (5-5-5),Kristian Hacklou,2012-04-14,"Stockholm, Sweden",Welterweight Bout,John Maguire
3264,Brad Pickett,Damacio Page,1,0,36 of 67,23 of 57,53%,40%,65 of 101,34 of 70,4 of 5,1 of 4,80%,25%,1,1,4,2,0,1,34 of 64,18 of 44,1 of 2,4 of 12,1 of 1,1 of 1,11 of 24,16 of 45,1 of 3,4 of 8,24 of 40,3 of 4,Submission,2,4:05,3 Rnd (5-5-5),Marko Gyllenland,2012-04-14,"Stockholm, Sweden",Bantamweight Bout,Brad Pickett
3265,Papy Abedi,James Head,0,0,11 of 18,21 of 43,61%,48%,19 of 28,28 of 50,1 of 3,0 of 0,33%,0%,0,1,1,2,0,0,7 of 13,16 of 36,2 of 2,5 of 7,2 of 3,0 of 0,6 of 12,9 of 28,2 of 3,10 of 12,3 of 3,2 of 3,Submission,1,4:33,3 Rnd (5-5-5),Robert Sundel,2012-04-14,"Stockholm, Sweden",Welterweight Bout,James Head
3266,Cyrille Diabate,Tom DeBlass,0,0,48 of 50,1 of 6,96%,16%,90 of 94,17 of 24,2 of 2,2 of 4,100%,50%,0,1,3,7,1,2,31 of 33,1 of 5,15 of 15,0 of 1,2 of 2,0 of 0,12 of 13,1 of 6,0 of 0,0 of 0,36 of 37,0 of 0,Decision - Majority,3,5:00,3 Rnd (5-5-5),Leon Roberts,2012-04-14,"Stockholm, Sweden",Light Heavyweight Bout,Cyrille Diabate
3267,Francis Carmont,Magnus Cedenblad,0,0,28 of 30,11 of 14,93%,78%,53 of 57,39 of 42,2 of 2,0 of 0,100%,0%,1,1,6,4,1,1,27 of 29,10 of 11,1 of 1,0 of 1,0 of 0,1 of 2,2 of 3,4 of 7,0 of 0,0 of 0,26 of 27,7 of 7,Submission,2,1:42,3 Rnd (5-5-5),Kristian Hacklou,2012-04-14,"Stockholm, Sweden",Middleweight Bout,Francis Carmont
3268,Reza Madadi,Yoislandy Izquierdo,0,0,1 of 1,36 of 64,100%,56%,2 of 2,44 of 72,3 of 7,0 of 2,42%,0%,1,0,3,0,0,0,0 of 0,17 of 41,0 of 0,12 of 15,1 of 1,7 of 8,0 of 0,30 of 56,1 of 1,4 of 6,0 of 0,2 of 2,Submission,2,1:28,3 Rnd (5-5-5),Marko Gyllenland,2012-04-14,"Stockholm, Sweden",Lightweight Bout,Reza Madadi
3269,Simeon Thoresen,Besam Yousef,0,0,37 of 67,28 of 54,55%,51%,81 of 117,98 of 137,1 of 4,0 of 0,25%,0%,3,0,2,0,1,0,19 of 49,22 of 46,18 of 18,5 of 7,0 of 0,1 of 1,12 of 39,16 of 39,18 of 18,10 of 12,7 of 10,2 of 3,Submission,2,2:36,3 Rnd (5-5-5),Marc Goddard,2012-04-14,"Stockholm, Sweden",Welterweight Bout,Simeon Thoresen
3270,Jason Young,Eric Wisely,0,0,44 of 86,36 of 69,51%,52%,133 of 179,118 of 157,4 of 6,0 of 1,66%,0%,0,0,0,0,0,0,19 of 56,15 of 47,6 of 6,11 of 11,19 of 24,10 of 11,18 of 54,33 of 66,8 of 8,3 of 3,18 of 24,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Robert Sundel,2012-04-14,"Stockholm, Sweden",Featherweight Bout,Jason Young
3271,Thiago Alves,Martin Kampmann,0,0,62 of 118,47 of 118,52%,39%,90 of 151,57 of 133,2 of 3,1 of 7,66%,14%,0,1,2,1,0,1,42 of 91,34 of 104,11 of 12,13 of 14,9 of 15,0 of 0,60 of 113,39 of 107,1 of 1,8 of 11,1 of 4,0 of 0,Submission,3,4:12,3 Rnd (5-5-5),Herb Dean,2012-03-02,"Sydney, New South Wales, Australia",Welterweight Bout,Martin Kampmann
3272,Joseph Benavidez,Yasuhiro Urushitani,1,0,18 of 50,8 of 18,36%,44%,33 of 65,12 of 22,1 of 5,0 of 0,20%,0%,1,0,4,0,0,0,8 of 29,5 of 13,6 of 10,2 of 2,4 of 11,1 of 3,12 of 42,8 of 18,2 of 2,0 of 0,4 of 6,0 of 0,KO/TKO,2,0:11,3 Rnd + OT (5-5-5-5),Steve Perceval,2012-03-02,"Sydney, New South Wales, Australia",Flyweight Bout,Joseph Benavidez
3273,Demetrious Johnson,Ian McCall,0,0,75 of 145,61 of 144,51%,42%,103 of 175,139 of 229,0 of 4,4 of 9,0%,44%,0,0,0,6,1,0,44 of 108,31 of 99,11 of 12,16 of 20,20 of 25,14 of 25,68 of 133,36 of 108,7 of 12,12 of 18,0 of 0,13 of 18,Decision - Majority,3,5:00,3 Rnd + OT (5-5-5-5),Leon Roberts,2012-03-02,"Sydney, New South Wales, Australia",Flyweight Bout,
3274,Court McGee,Costas Philippou,0,0,58 of 167,60 of 155,34%,38%,70 of 181,62 of 157,0 of 8,0 of 0,0%,0%,0,0,0,0,0,0,31 of 129,55 of 147,15 of 22,4 of 7,12 of 16,1 of 1,54 of 159,60 of 155,4 of 8,0 of 0,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John Sharp,2012-03-02,"Sydney, New South Wales, Australia",Middleweight Bout,Costas Philippou
3275,James Te Huna,Aaron Rosa,0,0,22 of 33,0 of 12,66%,0%,37 of 50,16 of 29,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,20 of 31,0 of 12,0 of 0,0 of 0,2 of 2,0 of 0,11 of 18,0 of 12,4 of 7,0 of 0,7 of 8,0 of 0,KO/TKO,1,2:08,3 Rnd (5-5-5),Leon Roberts,2012-03-02,"Sydney, New South Wales, Australia",Light Heavyweight Bout,James Te Huna
3276,Anthony Perosh,Nick Penner,0,0,25 of 45,5 of 22,55%,22%,35 of 57,9 of 26,2 of 4,0 of 0,50%,0%,0,0,2,1,0,1,24 of 44,4 of 21,0 of 0,1 of 1,1 of 1,0 of 0,2 of 9,3 of 19,2 of 3,1 of 1,21 of 33,1 of 2,KO/TKO,1,4:59,3 Rnd (5-5-5),John Sharp,2012-03-02,"Sydney, New South Wales, Australia",Light Heavyweight Bout,Anthony Perosh
3277,Cole Miller,Steven Siler,0,0,72 of 152,81 of 221,47%,36%,77 of 157,95 of 235,1 of 5,1 of 6,20%,16%,0,1,2,1,0,0,44 of 117,50 of 189,11 of 17,20 of 20,17 of 18,11 of 12,54 of 130,64 of 193,16 of 19,17 of 28,2 of 3,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Perceval,2012-03-02,"Sydney, New South Wales, Australia",Featherweight Bout,Steven Siler
3278,Kyle Noke,Andrew Craig,0,0,36 of 63,36 of 79,57%,45%,40 of 67,104 of 158,3 of 7,1 of 2,42%,50%,1,0,2,1,0,0,20 of 40,30 of 68,9 of 15,4 of 7,7 of 8,2 of 4,29 of 56,24 of 66,1 of 1,3 of 3,6 of 6,9 of 10,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2012-03-02,"Sydney, New South Wales, Australia",Middleweight Bout,Andrew Craig
