,R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR.,B_SIG_STR.,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR.,B_TOTAL_STR.,R_TD,B_TD,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,R_HEAD,B_HEAD,R_BODY,B_BODY,R_LEG,B_LEG,R_DISTANCE,B_DISTANCE,R_CLINCH,B_CLINCH,R_GROUND,B_GROUND,win_by,last_round,last_round_time,Format,Referee,date,location,Fight_type,Winner
1431,Roy Nelson,Derrick Lewis,0,0,4 of 19,37 of 73,21%,50%,66 of 89,39 of 75,7 of 10,0 of 0,70%,0%,0,0,5,0,0,0,3 of 18,25 of 60,0 of 0,11 of 12,1 of 1,1 of 1,2 of 15,16 of 46,2 of 3,21 of 27,0 of 1,0 of 0,Decision - Split,3,5:00,3 Rnd (5-5-5),John McCarthy,2016-07-07,"Las Vegas, Nevada, USA",Heavyweight Bout,Derrick Lewis
1432,Alan Jouban,Belal Muhammad,3,0,86 of 169,77 of 199,50%,38%,105 of 191,108 of 239,0 of 0,2 of 8,0%,25%,0,0,2,0,0,0,46 of 120,71 of 190,20 of 26,3 of 3,20 of 23,3 of 6,65 of 136,69 of 185,5 of 6,5 of 9,16 of 27,3 of 5,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2016-07-07,"Las Vegas, Nevada, USA",Welterweight Bout,Alan Jouban
1433,Joe Duffy,Mitch Clarke,1,0,3 of 7,1 of 4,42%,25%,3 of 7,1 of 4,0 of 0,0 of 0,0%,0%,1,0,2,0,0,0,3 of 7,0 of 2,0 of 0,0 of 0,0 of 0,1 of 2,1 of 2,1 of 4,0 of 0,0 of 0,2 of 5,0 of 0,Submission,1,0:25,3 Rnd (5-5-5),John McCarthy,2016-07-07,"Las Vegas, Nevada, USA",Lightweight Bout,Joe Duffy
1434,Mike Pyle,Alberto Mina,0,1,2 of 12,16 of 43,16%,37%,5 of 15,27 of 57,0 of 0,2 of 2,0%,100%,1,0,0,0,0,0,0 of 9,12 of 36,0 of 0,1 of 3,2 of 3,3 of 4,2 of 9,7 of 24,0 of 3,0 of 0,0 of 0,9 of 19,KO/TKO,2,1:17,3 Rnd (5-5-5),Jason Herzog,2016-07-07,"Las Vegas, Nevada, USA",Welterweight Bout,Alberto Mina
1435,John Makdessi,Mehdi Baghdad,0,1,84 of 152,60 of 193,55%,31%,110 of 182,64 of 197,0 of 1,0 of 1,0%,0%,0,0,0,0,0,0,31 of 85,32 of 151,27 of 37,8 of 19,26 of 30,20 of 23,79 of 136,54 of 182,3 of 10,3 of 8,2 of 6,3 of 3,Decision - Split,3,5:00,3 Rnd (5-5-5),Mark Smith,2016-07-07,"Las Vegas, Nevada, USA",Lightweight Bout,John Makdessi
1436,Anthony Birchak,Dileno Lopes,0,0,41 of 112,25 of 87,36%,28%,101 of 175,35 of 98,0 of 0,2 of 12,0%,16%,0,0,0,2,0,0,16 of 74,22 of 74,18 of 29,2 of 10,7 of 9,1 of 3,30 of 86,18 of 75,9 of 21,7 of 12,2 of 5,0 of 0,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,2016-07-07,"Las Vegas, Nevada, USA",Bantamweight Bout,Anthony Birchak
1437,Russell Doane,Pedro Munhoz,0,0,18 of 41,14 of 25,43%,56%,18 of 41,14 of 25,0 of 0,1 of 2,0%,50%,0,1,0,0,0,0,11 of 30,8 of 16,6 of 10,3 of 5,1 of 1,3 of 4,17 of 40,14 of 24,1 of 1,0 of 1,0 of 0,0 of 0,Submission,1,2:08,3 Rnd (5-5-5),Mark Smith,2016-07-07,"Las Vegas, Nevada, USA",Bantamweight Bout,Pedro Munhoz
1438,Felipe Arantes,Jerrod Sanders,0,0,3 of 9,6 of 10,33%,60%,5 of 11,32 of 50,0 of 0,1 of 3,0%,33%,1,0,0,1,0,1,1 of 6,6 of 10,0 of 1,0 of 0,2 of 2,0 of 0,3 of 8,0 of 1,0 of 0,0 of 0,0 of 1,6 of 9,Submission,2,1:39,3 Rnd (5-5-5),Chris Tognoni,2016-07-07,"Las Vegas, Nevada, USA",Bantamweight Bout,Felipe Arantes
1439,Gilbert Burns,Lukasz Sajewski,0,0,13 of 30,14 of 30,43%,46%,16 of 34,15 of 31,1 of 5,0 of 1,20%,0%,1,0,1,0,0,0,8 of 23,8 of 21,5 of 7,5 of 8,0 of 0,1 of 1,6 of 21,12 of 25,4 of 5,2 of 5,3 of 4,0 of 0,Submission,1,4:57,3 Rnd (5-5-5),Jason Herzog,2016-07-07,"Las Vegas, Nevada, USA",Lightweight Bout,Gilbert Burns
1440,Marco Beltran,Reginaldo Vieira,1,0,20 of 48,20 of 56,41%,35%,31 of 60,35 of 72,0 of 0,3 of 4,0%,75%,1,0,1,0,0,0,15 of 40,10 of 43,4 of 6,8 of 10,1 of 2,2 of 3,7 of 30,10 of 43,11 of 14,6 of 7,2 of 4,4 of 6,Submission,2,3:04,3 Rnd (5-5-5),Mark Smith,2016-07-07,"Las Vegas, Nevada, USA",Bantamweight Bout,Marco Beltran
1441,Vicente Luque,Alvaro Herrera,0,0,25 of 54,12 of 26,46%,46%,51 of 87,13 of 27,4 of 5,0 of 0,80%,0%,1,0,4,0,0,0,14 of 38,8 of 21,3 of 6,3 of 4,8 of 10,1 of 1,13 of 31,9 of 23,2 of 3,3 of 3,10 of 20,0 of 0,Submission,2,3:52,3 Rnd (5-5-5),Chris Tognoni,2016-07-07,"Las Vegas, Nevada, USA",Welterweight Bout,Vicente Luque
1442,Rory MacDonald,Stephen Thompson,0,0,61 of 152,110 of 259,40%,42%,62 of 153,124 of 274,0 of 2,0 of 0,0%,0%,0,0,0,0,0,0,50 of 137,71 of 208,10 of 14,23 of 34,1 of 1,16 of 17,47 of 135,97 of 242,11 of 13,8 of 12,3 of 4,5 of 5,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,2016-06-18,"Ottawa, Ontario, Canada",Welterweight Bout,Stephen Thompson
1443,Donald Cerrone,Patrick Cote,3,0,73 of 119,46 of 93,61%,49%,92 of 140,57 of 111,2 of 3,0 of 2,66%,0%,1,0,2,0,0,0,42 of 83,17 of 54,14 of 18,17 of 25,17 of 18,12 of 14,48 of 86,45 of 91,8 of 13,1 of 2,17 of 20,0 of 0,KO/TKO,3,2:35,3 Rnd (5-5-5),Yves Lavigne,2016-06-18,"Ottawa, Ontario, Canada",Welterweight Bout,Donald Cerrone
1444,Steve Bosse,Sean O'Connell,0,1,93 of 172,84 of 167,54%,50%,120 of 202,124 of 209,1 of 3,0 of 3,33%,0%,0,0,3,1,0,0,76 of 150,63 of 143,12 of 14,17 of 19,5 of 8,4 of 5,56 of 117,64 of 135,15 of 18,11 of 15,22 of 37,9 of 17,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2016-06-18,"Ottawa, Ontario, Canada",Light Heavyweight Bout,Steve Bosse
1445,Olivier Aubin-Mercier,Thibault Gouti,0,0,44 of 61,29 of 69,72%,42%,74 of 95,63 of 105,3 of 8,0 of 0,37%,0%,1,0,5,1,0,1,38 of 55,24 of 62,6 of 6,3 of 5,0 of 0,2 of 2,22 of 35,14 of 48,1 of 3,4 of 9,21 of 23,11 of 12,Submission,3,2:28,3 Rnd (5-5-5),Yves Lavigne,2016-06-18,"Ottawa, Ontario, Canada",Lightweight Bout,Olivier Aubin-Mercier
1446,Valerie Letourneau,Joanne Calderwood,0,2,80 of 143,115 of 208,55%,55%,95 of 162,142 of 239,0 of 0,3 of 6,0%,50%,0,0,0,1,0,0,50 of 107,58 of 127,19 of 21,19 of 35,11 of 15,38 of 46,58 of 118,96 of 176,19 of 22,10 of 15,3 of 3,9 of 17,KO/TKO,3,2:44,3 Rnd (5-5-5),Jerin Valel,2016-06-18,"Ottawa, Ontario, Canada",Women's Flyweight Bout,Joanne Calderwood
1447,Jason Saggo,Leandro Silva,0,0,48 of 132,47 of 99,36%,47%,75 of 160,61 of 115,1 of 2,2 of 3,50%,66%,0,0,2,0,0,0,29 of 94,31 of 77,6 of 17,6 of 10,13 of 21,10 of 12,37 of 118,40 of 87,0 of 2,2 of 3,11 of 12,5 of 9,Decision - Split,3,5:00,3 Rnd (5-5-5),John McCarthy,2016-06-18,"Ottawa, Ontario, Canada",Lightweight Bout,Jason Saggo
1448,Misha Cirkunov,Ion Cutelaba,0,0,44 of 94,24 of 115,46%,20%,55 of 106,25 of 116,1 of 3,0 of 1,33%,0%,1,0,1,1,0,0,36 of 78,12 of 93,7 of 15,7 of 17,1 of 1,5 of 5,35 of 81,20 of 110,9 of 13,3 of 4,0 of 0,1 of 1,Submission,3,1:22,3 Rnd (5-5-5),Herb Dean,2016-06-18,"Ottawa, Ontario, Canada",Light Heavyweight Bout,Misha Cirkunov
1449,Tamdan McCrory,Krzysztof Jotko,0,1,2 of 6,4 of 10,33%,40%,2 of 6,4 of 10,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,1 of 5,4 of 8,1 of 1,0 of 0,0 of 0,0 of 2,2 of 6,2 of 8,0 of 0,0 of 0,0 of 0,2 of 2,KO/TKO,1,0:59,3 Rnd (5-5-5),Yves Lavigne,2016-06-18,"Ottawa, Ontario, Canada",Middleweight Bout,Krzysztof Jotko
1450,Chris Beal,Joe Soto,0,0,76 of 209,47 of 136,36%,34%,78 of 211,63 of 153,0 of 0,1 of 7,0%,14%,0,2,0,2,0,0,68 of 197,37 of 119,8 of 12,3 of 3,0 of 0,7 of 14,76 of 209,42 of 131,0 of 0,0 of 0,0 of 0,5 of 5,Submission,3,3:39,3 Rnd (5-5-5),Jerin Valel,2016-06-18,"Ottawa, Ontario, Canada",Bantamweight Bout,Joe Soto
1451,Elias Theodorou,Sam Alvey,0,0,37 of 141,24 of 43,26%,55%,87 of 194,30 of 54,0 of 4,0 of 0,0%,0%,0,0,0,0,0,0,8 of 48,5 of 19,16 of 65,10 of 10,13 of 28,9 of 14,28 of 130,15 of 32,9 of 11,9 of 11,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,2016-06-18,"Ottawa, Ontario, Canada",Middleweight Bout,Elias Theodorou
1452,Randa Markos,Jocelyn Jones-Lybarger,0,0,86 of 243,79 of 235,35%,33%,116 of 284,96 of 252,1 of 6,1 of 1,16%,100%,1,0,0,0,0,0,77 of 228,60 of 208,6 of 9,5 of 11,3 of 6,14 of 16,65 of 214,75 of 230,13 of 18,4 of 5,8 of 11,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2016-06-18,"Ottawa, Ontario, Canada",Women's Strawweight Bout,Randa Markos
1453,Colby Covington,Jonathan Meunier,1,0,19 of 34,16 of 23,55%,69%,78 of 107,40 of 52,5 of 9,0 of 0,55%,0%,1,0,6,0,0,0,17 of 31,10 of 16,2 of 3,0 of 1,0 of 0,6 of 6,3 of 7,6 of 10,0 of 0,0 of 0,16 of 27,10 of 13,Submission,3,0:54,3 Rnd (5-5-5),Yves Lavigne,2016-06-18,"Ottawa, Ontario, Canada",Welterweight Bout,Colby Covington
1454,Ali Bagautinov,Geane Herrera,0,0,90 of 124,13 of 25,72%,52%,128 of 167,40 of 52,5 of 8,1 of 2,62%,50%,0,2,6,2,1,0,49 of 78,13 of 25,29 of 32,0 of 0,12 of 14,0 of 0,35 of 56,1 of 11,3 of 3,5 of 7,52 of 65,7 of 7,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,2016-06-18,"Ottawa, Ontario, Canada",Flyweight Bout,Ali Bagautinov
1455,Luke Rockhold,Michael Bisping,0,2,17 of 37,21 of 50,45%,42%,17 of 37,21 of 50,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,6 of 24,14 of 43,8 of 9,3 of 3,3 of 4,4 of 4,16 of 36,17 of 46,1 of 1,1 of 1,0 of 0,3 of 3,KO/TKO,1,3:36,5 Rnd (5-5-5-5-5),John McCarthy,2016-06-04,"Los Angeles, California, USA",UFC Middleweight Title Bout,Michael Bisping
1456,Dominick Cruz,Urijah Faber,1,0,87 of 261,34 of 159,33%,21%,99 of 275,49 of 174,3 of 7,1 of 6,42%,16%,0,0,2,0,1,0,62 of 223,26 of 142,8 of 19,6 of 15,17 of 19,2 of 2,77 of 243,25 of 147,6 of 10,6 of 9,4 of 8,3 of 3,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,2016-06-04,"Los Angeles, California, USA",UFC Bantamweight Title Bout,Dominick Cruz
1457,Max Holloway,Ricardo Lamas,0,0,103 of 205,64 of 135,50%,47%,111 of 213,66 of 137,0 of 0,0 of 6,0%,0%,2,0,2,0,0,0,80 of 179,35 of 103,12 of 12,4 of 4,11 of 14,25 of 28,82 of 181,57 of 127,11 of 13,6 of 7,10 of 11,1 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,2016-06-04,"Los Angeles, California, USA",Featherweight Bout,Max Holloway
1458,Dan Henderson,Hector Lombard,1,1,13 of 31,23 of 41,41%,56%,23 of 41,45 of 63,0 of 0,2 of 2,0%,100%,0,2,0,2,0,0,9 of 25,22 of 38,0 of 1,1 of 3,4 of 5,0 of 0,9 of 26,13 of 25,2 of 3,6 of 10,2 of 2,4 of 6,KO/TKO,2,1:27,3 Rnd (5-5-5),Herb Dean,2016-06-04,"Los Angeles, California, USA",Middleweight Bout,Dan Henderson
1459,Dustin Poirier,Bobby Green,2,0,36 of 66,16 of 35,54%,45%,36 of 66,17 of 36,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,31 of 58,13 of 29,1 of 4,2 of 3,4 of 4,1 of 3,25 of 46,15 of 32,6 of 14,1 of 3,5 of 6,0 of 0,KO/TKO,1,2:53,3 Rnd (5-5-5),Jason Herzog,2016-06-04,"Los Angeles, California, USA",Lightweight Bout,Dustin Poirier
1460,Brian Ortega,Clay Guida,1,1,62 of 189,62 of 192,32%,32%,62 of 189,70 of 209,0 of 0,0 of 6,0%,0%,0,0,0,0,0,0,52 of 175,42 of 164,9 of 13,13 of 21,1 of 1,7 of 7,60 of 185,58 of 188,1 of 3,4 of 4,1 of 1,0 of 0,KO/TKO,3,4:40,3 Rnd (5-5-5),Herb Dean,2016-06-04,"Los Angeles, California, USA",Featherweight Bout,Brian Ortega
1461,Beneil Dariush,James Vick,2,0,46 of 70,9 of 30,65%,30%,48 of 72,10 of 31,0 of 2,0 of 0,0%,0%,0,0,0,0,0,0,33 of 56,5 of 17,9 of 10,4 of 12,4 of 4,0 of 1,16 of 27,5 of 25,11 of 16,4 of 5,19 of 27,0 of 0,KO/TKO,1,4:16,3 Rnd (5-5-5),Mike Beltran,2016-06-04,"Los Angeles, California, USA",Lightweight Bout,Beneil Dariush
1462,Jessica Penne,Jessica Andrade,0,0,27 of 91,117 of 205,29%,57%,28 of 92,118 of 206,0 of 6,0 of 0,0%,0%,0,0,0,0,0,0,17 of 67,90 of 171,10 of 23,26 of 33,0 of 1,1 of 1,19 of 80,78 of 145,8 of 11,39 of 60,0 of 0,0 of 0,KO/TKO,2,2:56,3 Rnd (5-5-5),Jason Herzog,2016-06-04,"Los Angeles, California, USA",Women's Strawweight Bout,Jessica Andrade
1463,Cole Miller,Alex Caceres,0,1,33 of 127,97 of 156,25%,62%,39 of 134,108 of 167,3 of 3,5 of 5,100%,100%,1,0,4,4,0,1,24 of 111,65 of 120,5 of 11,22 of 26,4 of 5,10 of 10,30 of 122,77 of 130,1 of 2,10 of 14,2 of 3,10 of 12,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,2016-06-04,"Los Angeles, California, USA",Featherweight Bout,Alex Caceres
1464,Sean Strickland,Tom Breese,0,0,73 of 207,62 of 153,35%,40%,77 of 211,62 of 153,0 of 2,0 of 3,0%,0%,0,0,0,0,0,0,51 of 181,33 of 109,13 of 16,24 of 37,9 of 10,5 of 7,65 of 195,62 of 153,4 of 6,0 of 0,4 of 6,0 of 0,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,2016-06-04,"Los Angeles, California, USA",Welterweight Bout,Sean Strickland
1465,Jonathan Wilson,Henrique da Silva,1,0,66 of 97,81 of 136,68%,59%,71 of 102,97 of 153,1 of 1,0 of 0,100%,0%,0,0,0,2,0,1,53 of 82,55 of 101,13 of 15,21 of 30,0 of 0,5 of 5,46 of 73,25 of 62,14 of 17,25 of 39,6 of 7,31 of 35,KO/TKO,2,4:11,3 Rnd (5-5-5),Mike Beltran,2016-06-04,"Los Angeles, California, USA",Light Heavyweight Bout,Henrique da Silva
1466,Kevin Casey,Elvis Mutapcic,0,0,59 of 83,64 of 121,71%,52%,79 of 103,119 of 178,2 of 6,0 of 0,33%,0%,0,0,2,1,0,0,33 of 56,29 of 82,15 of 16,27 of 31,11 of 11,8 of 8,29 of 48,27 of 70,8 of 10,31 of 40,22 of 25,6 of 11,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,2016-06-04,"Los Angeles, California, USA",Middleweight Bout,
1467,Polo Reyes,Dong Hyun Ma,2,0,135 of 299,83 of 197,45%,42%,147 of 312,99 of 214,0 of 0,2 of 3,0%,66%,0,0,2,2,0,0,100 of 251,76 of 187,31 of 41,4 of 7,4 of 7,3 of 3,109 of 254,67 of 171,14 of 25,16 of 26,12 of 20,0 of 0,KO/TKO,3,1:52,3 Rnd (5-5-5),Mike Beltran,2016-06-04,"Los Angeles, California, USA",Lightweight Bout,Polo Reyes
1468,Thomas Almeida,Cody Garbrandt,0,1,10 of 25,21 of 48,40%,43%,10 of 25,22 of 49,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,9 of 23,18 of 43,0 of 0,0 of 1,1 of 2,3 of 4,10 of 25,20 of 47,0 of 0,0 of 0,0 of 0,1 of 1,KO/TKO,1,2:53,5 Rnd (5-5-5-5-5),John McCarthy,2016-05-29,"Las Vegas, Nevada, USA",Bantamweight Bout,Cody Garbrandt
1469,Renan Barao,Jeremy Stephens,0,0,43 of 137,55 of 140,31%,39%,51 of 146,73 of 158,2 of 9,0 of 1,22%,0%,0,0,0,0,0,0,28 of 110,38 of 113,7 of 16,7 of 11,8 of 11,10 of 16,38 of 129,50 of 134,5 of 8,5 of 6,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2016-05-29,"Las Vegas, Nevada, USA",Featherweight Bout,Jeremy Stephens
1470,Tarec Saffiedine,Rick Story,0,0,32 of 71,58 of 111,45%,52%,47 of 86,97 of 150,0 of 1,0 of 6,0%,0%,0,0,0,0,0,0,16 of 52,19 of 61,9 of 12,26 of 33,7 of 7,13 of 17,23 of 52,26 of 65,9 of 19,32 of 46,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,2016-05-29,"Las Vegas, Nevada, USA",Welterweight Bout,Rick Story
1471,Chris Camozzi,Vitor Miranda,0,0,43 of 93,27 of 92,46%,29%,76 of 142,49 of 116,1 of 1,1 of 2,100%,50%,0,0,3,0,0,0,33 of 80,9 of 55,2 of 3,4 of 18,8 of 10,14 of 19,32 of 79,22 of 85,5 of 5,3 of 3,6 of 9,2 of 4,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2016-05-29,"Las Vegas, Nevada, USA",Middleweight Bout,Chris Camozzi
1472,Jorge Masvidal,Lorenz Larkin,0,0,48 of 121,44 of 122,39%,36%,60 of 133,58 of 136,1 of 2,1 of 2,50%,50%,2,0,0,0,0,0,31 of 95,27 of 95,8 of 12,7 of 11,9 of 14,10 of 16,31 of 101,40 of 114,17 of 20,4 of 8,0 of 0,0 of 0,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,2016-05-29,"Las Vegas, Nevada, USA",Welterweight Bout,Lorenz Larkin
1473,Joshua Burkman,Paul Felder,0,0,40 of 97,41 of 95,41%,43%,41 of 98,53 of 107,3 of 6,0 of 2,50%,0%,0,0,2,0,0,0,16 of 58,15 of 63,6 of 10,14 of 17,18 of 29,12 of 15,38 of 93,36 of 89,2 of 4,5 of 6,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,2016-05-29,"Las Vegas, Nevada, USA",Lightweight Bout,Paul Felder
1474,Sara McMann,Jessica Eye,0,0,22 of 51,10 of 24,43%,41%,56 of 88,19 of 34,2 of 5,0 of 0,40%,0%,1,0,2,0,0,0,8 of 34,6 of 20,12 of 15,1 of 1,2 of 2,3 of 3,3 of 29,9 of 23,11 of 13,0 of 0,8 of 9,1 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,2016-05-29,"Las Vegas, Nevada, USA",Women's Bantamweight Bout,Sara McMann
1475,Abel Trujillo,Jordan Rinaldi,0,0,35 of 80,18 of 58,43%,31%,57 of 102,43 of 84,3 of 3,2 of 7,100%,28%,0,1,0,1,0,0,29 of 72,14 of 49,6 of 8,2 of 5,0 of 0,2 of 4,25 of 63,16 of 54,4 of 7,1 of 3,6 of 10,1 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2016-05-29,"Las Vegas, Nevada, USA",Lightweight Bout,Abel Trujillo
1476,Jake Collier,Alberto Uda,1,0,27 of 54,15 of 27,50%,55%,34 of 61,28 of 40,1 of 5,1 of 2,20%,50%,0,0,1,1,0,1,21 of 45,12 of 19,6 of 9,3 of 5,0 of 0,0 of 3,12 of 25,3 of 12,10 of 19,11 of 13,5 of 10,1 of 2,KO/TKO,2,1:06,3 Rnd (5-5-5),Jason Herzog,2016-05-29,"Las Vegas, Nevada, USA",Middleweight Bout,Jake Collier
1477,Erik Koch,Shane Campbell,0,0,14 of 40,16 of 26,35%,61%,22 of 50,34 of 46,2 of 4,0 of 3,50%,0%,1,0,4,0,0,0,11 of 37,2 of 10,2 of 2,6 of 8,1 of 1,8 of 8,10 of 36,13 of 21,3 of 3,3 of 5,1 of 1,0 of 0,Submission,2,3:02,3 Rnd (5-5-5),Chris Tognoni,2016-05-29,"Las Vegas, Nevada, USA",Lightweight Bout,Erik Koch
1478,Aljamain Sterling,Bryan Caraway,0,0,32 of 64,9 of 31,50%,29%,56 of 91,69 of 96,1 of 3,3 of 6,33%,50%,2,0,1,5,0,0,9 of 34,8 of 28,14 of 18,1 of 3,9 of 12,0 of 0,22 of 50,9 of 30,7 of 9,0 of 1,3 of 5,0 of 0,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,2016-05-29,"Las Vegas, Nevada, USA",Bantamweight Bout,Bryan Caraway
1479,Chris de la Rocha,Adam Milstead,0,0,39 of 98,58 of 116,39%,50%,43 of 102,61 of 119,0 of 7,0 of 0,0%,0%,0,0,0,0,0,0,25 of 82,52 of 107,9 of 11,5 of 8,5 of 5,1 of 1,33 of 91,47 of 100,6 of 7,9 of 14,0 of 0,2 of 2,KO/TKO,2,4:01,3 Rnd (5-5-5),Chris Tognoni,2016-05-29,"Las Vegas, Nevada, USA",Heavyweight Bout,Adam Milstead
1480,Fabricio Werdum,Stipe Miocic,0,1,15 of 33,20 of 31,45%,64%,15 of 33,20 of 31,0 of 1,0 of 0,0%,0%,0,0,0,0,0,0,5 of 20,10 of 21,4 of 5,1 of 1,6 of 8,9 of 9,15 of 33,16 of 27,0 of 0,1 of 1,0 of 0,3 of 3,KO/TKO,1,2:47,5 Rnd (5-5-5-5-5),Dan Miragliotta,2016-05-14,"Curitiba, Parana, Brazil",UFC Heavyweight Title Bout,Stipe Miocic
1481,Jacare Souza,Vitor Belfort,0,0,39 of 55,4 of 5,70%,80%,54 of 72,5 of 6,1 of 3,0 of 0,33%,0%,0,0,4,0,0,0,38 of 53,3 of 4,1 of 2,1 of 1,0 of 0,0 of 0,1 of 3,0 of 1,2 of 4,1 of 1,36 of 48,3 of 3,KO/TKO,1,4:38,3 Rnd (5-5-5),Osiris Maia,2016-05-14,"Curitiba, Parana, Brazil",Middleweight Bout,Jacare Souza
1482,Cris Cyborg,Leslie Smith,1,0,26 of 40,2 of 9,65%,22%,30 of 44,3 of 10,0 of 0,0 of 0,0%,0%,0,0,1,0,0,0,21 of 35,2 of 8,4 of 4,0 of 0,1 of 1,0 of 1,18 of 29,2 of 9,0 of 0,0 of 0,8 of 11,0 of 0,KO/TKO,1,1:21,3 Rnd (5-5-5),Eduardo Herdy,2016-05-14,"Curitiba, Parana, Brazil",Catch Weight Bout,Cris Cyborg
1483,Mauricio Rua,Corey Anderson,2,0,48 of 101,55 of 138,47%,39%,66 of 119,106 of 196,0 of 0,4 of 8,0%,50%,0,0,0,2,0,0,26 of 75,37 of 117,5 of 7,10 of 13,17 of 19,8 of 8,37 of 83,40 of 114,6 of 8,12 of 20,5 of 10,3 of 4,Decision - Split,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,2016-05-14,"Curitiba, Parana, Brazil",Light Heavyweight Bout,Mauricio Rua
1484,Warlley Alves,Bryan Barberena,0,0,79 of 136,120 of 231,58%,51%,82 of 139,164 of 281,0 of 2,0 of 1,0%,0%,1,0,0,0,0,0,52 of 105,84 of 186,24 of 27,13 of 20,3 of 4,23 of 25,70 of 124,90 of 184,9 of 12,30 of 47,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,2016-05-14,"Curitiba, Parana, Brazil",Welterweight Bout,Bryan Barberena
1485,Demian Maia,Matt Brown,0,0,17 of 20,10 of 23,85%,43%,91 of 110,29 of 46,3 of 10,0 of 0,30%,0%,2,0,5,1,0,1,17 of 20,9 of 20,0 of 0,0 of 1,0 of 0,1 of 2,2 of 3,2 of 12,0 of 0,0 of 1,15 of 17,8 of 10,Submission,3,4:31,3 Rnd (5-5-5),Mario Yamasaki,2016-05-14,"Curitiba, Parana, Brazil",Welterweight Bout,Demian Maia
1486,Thiago Santos,Nate Marquardt,2,0,16 of 30,7 of 13,53%,53%,20 of 35,7 of 13,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,6 of 18,1 of 7,6 of 7,0 of 0,4 of 5,6 of 6,12 of 25,6 of 11,1 of 2,1 of 2,3 of 3,0 of 0,KO/TKO,1,3:39,3 Rnd (5-5-5),Kevin MacDonald,2016-05-14,"Curitiba, Parana, Brazil",Middleweight Bout,Thiago Santos
1487,Francisco Trinaldo,Yancy Medeiros,0,1,117 of 175,51 of 163,66%,31%,143 of 204,71 of 184,2 of 4,0 of 1,50%,0%,0,0,3,1,0,1,94 of 144,36 of 134,14 of 22,14 of 28,9 of 9,1 of 1,85 of 133,39 of 148,22 of 30,4 of 6,10 of 12,8 of 9,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,2016-05-14,"Curitiba, Parana, Brazil",Lightweight Bout,Francisco Trinaldo
1488,John Lineker,Rob Font,0,0,80 of 183,40 of 114,43%,35%,95 of 200,40 of 114,1 of 2,0 of 3,50%,0%,0,0,4,0,0,0,36 of 116,27 of 94,28 of 44,5 of 11,16 of 23,8 of 9,56 of 150,39 of 113,2 of 6,1 of 1,22 of 27,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,2016-05-14,"Curitiba, Parana, Brazil",Bantamweight Bout,John Lineker
1489,Rogerio Nogueira,Patrick Cummins,1,0,30 of 58,12 of 36,51%,33%,36 of 65,14 of 38,0 of 0,0 of 2,0%,0%,0,0,0,0,0,0,30 of 55,6 of 25,0 of 3,0 of 2,0 of 0,6 of 9,23 of 50,12 of 33,2 of 3,0 of 3,5 of 5,0 of 0,KO/TKO,1,4:52,3 Rnd (5-5-5),Leon Roberts,2016-05-14,"Curitiba, Parana, Brazil",Light Heavyweight Bout,Rogerio Nogueira
